,product_id,final_quantity_requested,company_id_x,ship_from_site_id,customer_tpartner_id,requested_delivery_date,order_date,actual_delivery_date,promised_delivery_date,status,id_x,cust_order_id,id_y,description,company_id_y,Unnamed: 3,hts_code,is_hazmat,is_flammable,is_special_handling,is_perishable,is_digital,is_deleted,is_lot_controlled,is_expiry_controlled,creation_date,brand_name,parent_product_id,display_desc,discontinue_day,base_uom,unit_price,currency_uom,product_available_day,shipping_weight,shipping_dimension,unit_volume,pkg_length,pkg_width,pkg_height,weight_uom,dim_uom,volume_uom,casepack_size,gtin,db_creation_dttm,db_updation_dttm,sap_0material_attr__prdha
8188,8092280,1,1,823,9582859.0,2022-02-03,2022-01-30,2022-02-03,2022-02-03,Closed,922/823/9582859/13742746/4,1375042746,8092280,BODY WRAP RIB BASIC:BEIGE:56,1,8002778 Body wrap rib basic/8002778 Body wrap rib basic - Beige,,,,,,,False,,,,8913 Baby Basic,9328,Body,,1-PACK,2.5,USD,,,,,,,,,,,,,,,
8189,8092280,1,1,476,,2021-04-23,2021-04-23,2021-04-23,2021-04-23,Closed,922/476//1295298531/1,1295298531,8092280,BODY WRAP RIB BASIC:BEIGE:56,1,8002778 Body wrap rib basic/8002778 Body wrap rib basic - Beige,,,,,,,False,,,,8913 Baby Basic,9328,Body,,1-PACK,2.5,USD,,,,,,,,,,,,,,,
8190,8092280,1,1,802,8933847.0,2021-06-21,2021-06-17,2021-06-21,2021-06-21,Closed,922/2/8933847/1836/,1308320506,8092280,BODY WRAP RIB BASIC:BEIGE:56,1,8002778 Body wrap rib basic/8002778 Body wrap rib basic - Beige,,,,,,,False,,,,8913 Baby Basic,9328,Body,,1-PACK,2.5,USD,,,,,,,,,,,,,,,
8191,8092280,1,1,822,,2021-03-09,2021-03-05,2021-03-09,2021-03-09,Closed,922/822//1286154436/1,1286154436,8092280,BODY WRAP RIB BASIC:BEIGE:56,1,8002778 Body wrap rib basic/8002778 Body wrap rib basic - Beige,,,,,,,False,,,,8913 Baby Basic,9328,Body,,1-PACK,2.5,USD,,,,,,,,,,,,,,,
8192,8092280,1,1,486,,2021-02-15,2021-02-15,2021-02-15,2021-02-15,Closed,922/486//12826772/1,1282640772,8092280,BODY WRAP RIB BASIC:BEIGE:56,1,8002778 Body wrap rib basic/8002778 Body wrap rib basic - Beige,,,,,,,False,,,,8913 Baby Basic,9328,Body,,1-PACK,2.5,USD,,,,,,,,,,,,,,,
8193,8272707,1,1,823,,2021-08-24,2021-08-20,2021-08-24,2021-08-24,Closed,82727/823//1324211774/1,1324211774,8272707,BODY WRAP RED PANDA AOP:LIGHT BEIGE:56,1,8230417 Body Wrap Red Panda aop/8230417 Body Wrap Red Panda aop - Light Beige,,,,,,,False,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.46,USD,,,,,,,,,,,,,,,
8194,8272707,1,1,378,,2021-08-22,2021-08-22,2021-08-22,2021-08-22,Closed,82727/378//13291941/3,1324091941,8272707,BODY WRAP RED PANDA AOP:LIGHT BEIGE:56,1,8230417 Body Wrap Red Panda aop/8230417 Body Wrap Red Panda aop - Light Beige,,,,,,,False,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.46,USD,,,,,,,,,,,,,,,
8195,8250387,1,1,804,7094558.0,2021-08-30,2021-08-26,2021-08-30,2021-08-30,Closed,82387/4/94558/132558/2,1325540830,8250387,TROUSERS PATCH AT BACK X9:DUSTY LILAC:92,1,8201871 Trousers patch at back X9/8201871 Trousers patch at back X9 - Dusty Lilac,,,,,,,False,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,2.95,USD,,,,,,,,,,,,,,,
8196,8250387,1,1,804,8742624.0,2021-10-05,2021-10-01,2021-10-05,2021-10-05,Closed,82387/4/8742624/1335165728/1,1335165728,8250387,TROUSERS PATCH AT BACK X9:DUSTY LILAC:92,1,8201871 Trousers patch at back X9/8201871 Trousers patch at back X9 - Dusty Lilac,,,,,,,False,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,2.95,USD,,,,,,,,,,,,,,,
8197,8251780,1,1,823,4377173.0,1/12/2022,2022-01-08,1/12/2022,1/12/2022,Closed,82517/823/4377173/13688793/5,1368879103,8251780,CAMISOLE MERINO WOOL RACHEL SL:BLACK:M,1,8249153 camisole merino wool Rachel sl/8249153 camisole merino wool Rachel sl - Black,,,,,,,False,,,,2700 Base Layer Underwear,9325,Camisole/Undershirt,,1-PACK,5.89,USD,,,,,,,,,,,,,,,
8198,8251780,1,1,352,1393547.0,2/14/2022,2022-02-14,2/14/2022,2/14/2022,Closed,82517/352/1393547/1378987336/1,1378987336,8251780,CAMISOLE MERINO WOOL RACHEL SL:BLACK:M,1,8249153 camisole merino wool Rachel sl/8249153 camisole merino wool Rachel sl - Black,,,,,,,False,,,,2700 Base Layer Underwear,9325,Camisole/Undershirt,,1-PACK,5.89,USD,,,,,,,,,,,,,,,
8199,8251780,1,1,464,,10/17/2021,2021-10-17,10/17/2021,10/17/2021,Closed,82517/464//13397367/1,1339737067,8251780,CAMISOLE MERINO WOOL RACHEL SL:BLACK:M,1,8249153 camisole merino wool Rachel sl/8249153 camisole merino wool Rachel sl - Black,,,,,,,False,,,,2700 Base Layer Underwear,9325,Camisole/Undershirt,,1-PACK,5.89,USD,,,,,,,,,,,,,,,
